ID,name,description,stage,
000,antupy wishlist,"this is the wishlist of tasks and improvements",None
001,finish variable system,include Array and Frame,wip,
002,dewh's mwe,minimal workable example of a DEWH module's simulation,wip,
003,csp's mwe,minimal workable example of a CSP module's simulation,wip,
004,documentation,create documentation with working examples and analysers,,
005,parametric analyser,create the parametric analyser and test it with both examples,,
006,stochastic analyser,create the stochastic (MC) analyser and test it with both examples,,
007,csp module,create the module extending the mwe,,
009,dewh module,create the module extending the mwe,,
008,desal (med) mwe,create a module with an example of the field,,
008,desal (hdh) mwe,create a module with an example of the field,,
010,biomass mwe,create a module with an example of the field,,
011,caes mwe,,,
011,stc mwe,,,
011,wind mwe,,,
011,h2 mwe,,,
011,h2 mwe,,,
012,dispatch model,create a dispatch model for dispatchable generators (maybe a dispatch module?),None,
013,create policy making process module,are there frameworks/softwares for policy-making,None,
014,expand weather module,so far meteonorm and merra2,None,
015,develop .geo module, (or gis module). integrate python with other open-source gis tools,None,
016,expand stochastic module,improve the analysis of output and standarise the input,None,
017,develop full-python storage module,thermal storage with full-python solution,None,
018,teaching (.edu) module,how to use antupy for teaching,None,
019,quiz (.qiz) module,an assignment generator based on simulations,None,